word,original_vs_finetuned_cosine,shift_distance
review,0.6185690760612488,0.3814309239387512
screen,0.6756350994110107,0.32436490058898926
score,0.6843661665916443,0.3156338334083557
cast,0.6854848265647888,0.3145151734352112
plot,0.6932342648506165,0.30676573514938354
