model,causal_mask,final_loss,final_next_token_accuracy,training_seconds,checkpoint,future_attention_mass,maximum_future_attention_weight
unmasked,False,9.351366315968335e-05,1.0,4.480171106,hw3_outputs/models/unmasked_attention_sid6441.pt,17.971975326538086,0.9999934434890747
causal,True,0.00010097266203956679,1.0,3.0484988609999846,hw3_outputs/models/causal_attention_sid6441.pt,0.0,0.0
