gpu_uuid,gpu_name,elapsed_seconds,throughput_tflops,timestamp,utilization_percent,temperature_c,power_w,sm_clock_mhz,memory_clock_mhz
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,0.0526618957519531,19.777082134656727,2026/09/22 22:48:55.454,0,49,30.4,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,5.093165636062622,20.1014636522231,2026/09/22 22:49:00.499,0,49,29.81,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,10.13632607460022,20.221162330283363,2026/09/22 22:49:05.540,0,49,28.24,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,15.180386781692505,20.179472028081847,2026/09/22 22:49:10.586,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,20.22110748291016,20.200841973581,2026/09/22 22:49:15.627,0,49,36.79,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,25.26327657699585,20.306873933761366,2026/09/22 22:49:20.668,6,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,30.30484771728516,20.203576911616068,2026/09/22 22:49:25.710,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,35.34613513946533,20.220653599986072,2026/09/22 22:49:30.751,0,49,31.09,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,40.39304208755493,20.055338427912616,2026/09/22 22:49:35.796,0,49,33.13,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,45.43374347686768,20.2559504843425,2026/09/22 22:49:40.840,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,50.48061800003052,20.23721683634683,2026/09/22 22:49:45.881,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,55.52216339111328,20.17658958603148,2026/09/22 22:49:50.928,6,49,43.92,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,60.56452703475952,20.262995377079832,2026/09/22 22:49:55.969,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,65.6087863445282,20.14128218668227,2026/09/22 22:50:01.011,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,70.65141892433167,20.21447055792469,2026/09/22 22:50:06.056,0,49,30.9,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,75.69477891921997,20.087998713942465,2026/09/22 22:50:11.100,0,49,39.82,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,80.7383964061737,20.081233396827248,2026/09/22 22:50:16.142,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,85.78223705291748,19.98612615394702,2026/09/22 22:50:21.188,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,90.83127307891846,20.186958965563303,2026/09/22 22:50:26.232,6,49,41.08,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,95.87958192825316,19.429609042832546,2026/09/22 22:50:31.283,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,100.9207398891449,20.23549761943223,2026/09/22 22:50:36.326,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,105.96471786499023,19.821148748991355,2026/09/22 22:50:41.371,0,49,39.23,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,111.01510739326476,19.910387143169917,2026/09/22 22:50:46.415,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,116.06556177139282,19.439986290265544,2026/09/22 22:50:51.467,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,121.10771012306212,20.171919586343478,2026/09/22 22:50:56.513,6,49,38.94,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,126.14837837219238,20.03344863208041,2026/09/22 22:51:01.554,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,131.1977241039276,20.11317750579212,2026/09/22 22:51:06.599,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,136.23944854736328,20.17824548230827,2026/09/22 22:51:11.645,0,49,31.59,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,141.28059649467468,20.22626592404472,2026/09/22 22:51:16.686,0,49,43.55,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,146.32167172431946,20.214595430138058,2026/09/22 22:51:21.727,0,49,28.24,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,151.36574625968933,20.028558615176223,2026/09/22 22:51:26.769,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,156.41399836540222,19.9788571193436,2026/09/22 22:51:31.817,6,49,33.45,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,161.45837354660034,20.27760546426588,2026/09/22 22:51:36.861,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,166.4995653629303,20.20446199059567,2026/09/22 22:51:41.905,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,171.54141497612,20.208208098916923,2026/09/22 22:51:46.946,0,49,31.19,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,176.5866458415985,20.224313458298223,2026/09/22 22:51:51.988,0,49,32.28,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,181.6281487941742,20.168838038201365,2026/09/22 22:51:57.034,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,186.6725506782532,20.26332997440179,2026/09/22 22:52:02.075,0,49,28.24,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,191.71781992912287,19.899645812967712,2026/09/22 22:52:07.123,5,49,40.69,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,196.76044464111328,20.243318390694085,2026/09/22 22:52:12.165,0,49,28.24,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,201.8043684959412,20.235363550740864,2026/09/22 22:52:17.207,0,49,28.24,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,206.8499391078949,20.21620701889936,2026/09/22 22:52:22.251,0,49,30.7,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,211.8915808200836,20.30690393763254,2026/09/22 22:52:27.297,0,49,29.51,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,216.9360375404358,20.22865939982352,2026/09/22 22:52:32.338,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,221.9800055027008,20.258882523687472,2026/09/22 22:52:37.383,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,227.02994108200076,20.06670265263903,2026/09/22 22:52:42.432,0,49,43.13,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,232.07456493377688,20.224242033499884,2026/09/22 22:52:47.477,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,237.11665105819705,19.93423761451851,2026/09/22 22:52:52.522,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,242.15917301177976,20.161021465193787,2026/09/22 22:52:57.564,0,49,41.48,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,247.20657515525815,20.18769432462381,2026/09/22 22:53:02.607,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,252.2481987476349,20.21576692854348,2026/09/22 22:53:07.654,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,257.29156732559204,20.26415755317175,2026/09/22 22:53:12.695,4,49,34.83,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,262.3387362957001,19.714155969499107,2026/09/22 22:53:17.743,0,49,28.24,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,267.3846800327301,20.24703418178185,2026/09/22 22:53:22.786,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,272.42775535583496,20.16949215962724,2026/09/22 22:53:27.832,0,49,30.8,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,277.4700584411621,20.18692041972573,2026/09/22 22:53:32.875,0,49,37.55,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,282.5129063129425,20.25757165989181,2026/09/22 22:53:37.917,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,287.5587956905365,20.27232343237096,2026/09/22 22:53:42.960,0,49,28.14,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,292.5999412536621,20.26134346421149,2026/09/22 22:53:48.006,0,49,39.53,585,5000
GPU-a98bf6a6-5b25-331d-3b55-5cc9697e4e0d,Tesla T4,297.6454336643219,20.307618055660573,2026/09/22 22:53:53.047,0,49,28.14,585,5000
